,VarName,Value
0,EnergyConsumption,45996.8515625
1,PID_for_T.D.T,0.009999999776482582
2,PID_for_T.D.der(x),0.0
3,PID_for_T.D.initType,1.0
4,PID_for_T.D.k,0.10000000149011612
5,PID_for_T.D.u,-295.7515869140625
6,PID_for_T.D.x,-295.7515869140625
7,PID_for_T.D.x_start,0.0
8,PID_for_T.D.y,0.0
9,PID_for_T.D.y_start,0.0
10,PID_for_T.I.der(y),0.0
11,PID_for_T.I.initType,1.0
12,PID_for_T.I.k,10.0
13,PID_for_T.I.u,0.0
14,PID_for_T.I.y,71.25517272949219
15,PID_for_T.I.y_start,0.0
16,PID_for_T.Nd,10.0
17,PID_for_T.Ni,0.10000000149011612
18,PID_for_T.P.k,1.0
19,PID_for_T.P.u,0.0
20,PID_for_T.P.y,0.0
21,PID_for_T.Td,0.10000000149011612
22,PID_for_T.Ti,0.10000000149011612
23,PID_for_T.addD.k1,0.0
24,PID_for_T.addD.k2,-1.0
25,PID_for_T.addD.u1,295.7515869140625
26,PID_for_T.addD.u2,295.7515869140625
27,PID_for_T.addD.y,-295.7515869140625
28,PID_for_T.addI.k1,1.0
29,PID_for_T.addI.k2,-1.0
30,PID_for_T.addI.k3,1.0
31,PID_for_T.addI.u1,295.7515869140625
32,PID_for_T.addI.u2,295.7515869140625
33,PID_for_T.addI.u3,0.0
34,PID_for_T.addI.y,0.0
35,PID_for_T.addP.k1,1.0
36,PID_for_T.addP.k2,-1.0
37,PID_for_T.addP.u1,295.7515869140625
38,PID_for_T.addP.u2,295.7515869140625
39,PID_for_T.addP.y,0.0
40,PID_for_T.addPID.k1,1.0
41,PID_for_T.addPID.k2,1.0
42,PID_for_T.addPID.k3,1.0
43,PID_for_T.addPID.u1,0.0
44,PID_for_T.addPID.u2,0.0
45,PID_for_T.addPID.u3,71.25517272949219
46,PID_for_T.addPID.y,71.25517272949219
47,PID_for_T.addSat.k1,1.0
48,PID_for_T.addSat.k2,-1.0
49,PID_for_T.addSat.u1,7125.517578125
50,PID_for_T.addSat.u2,7125.517578125
51,PID_for_T.addSat.y,0.0
52,PID_for_T.controlError,0.0
53,PID_for_T.controllerType,4.0
54,PID_for_T.gainPID.k,100.0
55,PID_for_T.gainPID.u,71.25517272949219
56,PID_for_T.gainPID.y,7125.517578125
57,PID_for_T.gainTrack.k,0.10000000149011612
58,PID_for_T.gainTrack.u,0.0
59,PID_for_T.gainTrack.y,0.0
60,PID_for_T.initType,1.0
61,PID_for_T.k,100.0
62,PID_for_T.limiter.limitsAtInit,1.0
63,PID_for_T.limiter.strict,0.0
64,PID_for_T.limiter.u,7125.517578125
65,PID_for_T.limiter.uMax,8000.0
66,PID_for_T.limiter.uMin,1000.0
67,PID_for_T.limiter.y,7125.517578125
68,PID_for_T.limitsAtInit,1.0
69,PID_for_T.strict,0.0
70,PID_for_T.u_m,295.7515869140625
71,PID_for_T.u_s,295.7515869140625
72,PID_for_T.wd,0.0
73,PID_for_T.wp,1.0
74,PID_for_T.xd_start,0.0
75,PID_for_T.xi_start,0.0
76,PID_for_T.y,7125.517578125
77,PID_for_T.yMax,8000.0
78,PID_for_T.yMin,1000.0
79,PID_for_T.y_start,15000.0
80,PID_for_m.Dzero.k,0.0
81,PID_for_m.Dzero.y,0.0
82,PID_for_m.I.der(y),0.0
83,PID_for_m.I.initType,1.0
84,PID_for_m.I.k,10.0
85,PID_for_m.I.u,0.0
86,PID_for_m.I.y,0.0132246483117342
87,PID_for_m.I.y_start,0.0
88,PID_for_m.Nd,10.0
89,PID_for_m.Ni,0.10000000149011612
90,PID_for_m.P.k,1.0
91,PID_for_m.P.u,0.0
92,PID_for_m.P.y,0.0
93,PID_for_m.Td,0.10000000149011612
94,PID_for_m.Ti,0.10000000149011612
95,PID_for_m.addI.k1,1.0
96,PID_for_m.addI.k2,-1.0
97,PID_for_m.addI.k3,1.0
98,PID_for_m.addI.u1,0.12163478136062622
99,PID_for_m.addI.u2,0.12163478136062622
100,PID_for_m.addI.u3,0.0
101,PID_for_m.addI.y,0.0
102,PID_for_m.addP.k1,1.0
103,PID_for_m.addP.k2,-1.0
104,PID_for_m.addP.u1,0.12163478136062622
105,PID_for_m.addP.u2,0.12163478136062622
106,PID_for_m.addP.y,0.0
107,PID_for_m.addPID.k1,1.0
108,PID_for_m.addPID.k2,1.0
109,PID_for_m.addPID.k3,1.0
110,PID_for_m.addPID.u1,0.0
111,PID_for_m.addPID.u2,0.0
112,PID_for_m.addPID.u3,0.0132246483117342
113,PID_for_m.addPID.y,0.0132246483117342
114,PID_for_m.addSat.k1,1.0
115,PID_for_m.addSat.k2,-1.0
116,PID_for_m.addSat.u1,66.12323760986328
117,PID_for_m.addSat.u2,66.12323760986328
118,PID_for_m.addSat.y,0.0
119,PID_for_m.controlError,0.0
120,PID_for_m.controllerType,2.0
121,PID_for_m.gainPID.k,5000.0
122,PID_for_m.gainPID.u,0.0132246483117342
123,PID_for_m.gainPID.y,66.12323760986328
124,PID_for_m.gainTrack.k,0.0020000000949949026
125,PID_for_m.gainTrack.u,0.0
126,PID_for_m.gainTrack.y,0.0
127,PID_for_m.initType,1.0
128,PID_for_m.k,5000.0
129,PID_for_m.limiter.limitsAtInit,1.0
130,PID_for_m.limiter.strict,0.0
131,PID_for_m.limiter.u,66.12323760986328
132,PID_for_m.limiter.uMax,1000.0
133,PID_for_m.limiter.uMin,1.0
134,PID_for_m.limiter.y,66.12323760986328
135,PID_for_m.limitsAtInit,1.0
136,PID_for_m.strict,0.0
137,PID_for_m.u_m,0.12163478136062622
138,PID_for_m.u_s,0.12163478136062622
139,PID_for_m.wd,0.0
140,PID_for_m.wp,1.0
141,PID_for_m.xd_start,0.0
142,PID_for_m.xi_start,0.0
143,PID_for_m.y,66.12323760986328
144,PID_for_m.yMax,1000.0
145,PID_for_m.yMin,1.0
146,PID_for_m.y_start,15000.0
147,T_out_heatexchange.T,329.4234313964844
148,T_out_heatexchange.port.X_outflow[1],0.0
149,T_out_heatexchange.port.X_outflow[2],0.0
150,T_out_heatexchange.port.X_outflow[3],0.0
151,T_out_heatexchange.port.X_outflow[4],0.0
152,T_out_heatexchange.port.h_outflow,0.0
153,T_out_heatexchange.port.m_flow,0.0
154,T_out_heatexchange.port.p,168358.34375
155,T_out_heatexchange.state.T,329.4234313964844
156,T_out_heatexchange.state.X[1],0.05000000074505806
157,T_out_heatexchange.state.X[2],0.20999999344348907
158,T_out_heatexchange.state.X[3],0.7300000190734863
159,T_out_heatexchange.state.X[4],0.009999999776482582
160,T_out_heatexchange.state.p,168358.34375
161,T_out_heatexchange.y,329.4234313964844
162,T_outcompressor.T,376.59344482421875
163,T_outcompressor.port.X_outflow[1],0.0
164,T_outcompressor.port.X_outflow[2],0.0
165,T_outcompressor.port.X_outflow[3],0.0
166,T_outcompressor.port.X_outflow[4],0.0
167,T_outcompressor.port.h_outflow,0.0
168,T_outcompressor.port.m_flow,0.0
169,T_outcompressor.port.p,168420.21875
170,T_outcompressor.state.T,376.59344482421875
171,T_outcompressor.state.X[1],0.05000000074505806
172,T_outcompressor.state.X[2],0.20999999344348907
173,T_outcompressor.state.X[3],0.7300000190734863
174,T_outcompressor.state.X[4],0.009999999776482582
175,T_outcompressor.state.p,168420.21875
176,T_outcompressor.y,376.59344482421875
177,T_outcycle.T,295.7515869140625
178,T_outcycle.port.X_outflow[1],0.0
179,T_outcycle.port.X_outflow[2],0.0
180,T_outcycle.port.X_outflow[3],0.0
181,T_outcycle.port.X_outflow[4],0.0
182,T_outcycle.port.h_outflow,0.0
183,T_outcycle.port.m_flow,0.0
184,T_outcycle.port.p,101325.0
185,T_outcycle.state.T,295.7515869140625
186,T_outcycle.state.X[1],0.05000000074505806
187,T_outcycle.state.X[2],0.20999999344348907
188,T_outcycle.state.X[3],0.7300000190734863
189,T_outcycle.state.X[4],0.009999999776482582
190,T_outcycle.state.p,101325.0
191,T_outcycle.y,295.7515869140625
192,compressor.T_start,298.1499938964844
193,compressor.X_in[1].y,0.05000000074505806
194,compressor.X_in[2].y,0.20999999344348907
195,compressor.X_in[3].y,0.7300000190734863
196,compressor.X_in[4].y,0.009999999776482582
197,compressor.charMap.T_in,299.09320068359375
198,compressor.charMap.T_ref,298.1499938964844
199,compressor.charMap.Tc_flow,1.0
200,compressor.charMap.X_in[1],0.05000000074505806
201,compressor.charMap.X_in[2],0.20999999344348907
202,compressor.charMap.X_in[3],0.7300000190734863
203,compressor.charMap.X_in[4],0.009999999776482582
204,compressor.charMap.correctedFlow.y,0.3020647168159485
205,compressor.charMap.correctedSpeed.y,67936.3046875
206,compressor.charMap.der(m_flow),1.9984014443252818e-15
207,"compressor.charMap.effMap[1, 1]",0.0
208,"compressor.charMap.effMap[1, 2]",0.10000000149011612
209,"compressor.charMap.effMap[1, 3]",0.15000000596046448
210,"compressor.charMap.effMap[1, 4]",0.20000000298023224
211,"compressor.charMap.effMap[2, 1]",40000.0
212,"compressor.charMap.effMap[2, 2]",0.75
213,"compressor.charMap.effMap[2, 3]",0.8500000238418579
214,"compressor.charMap.effMap[2, 4]",0.800000011920929
215,"compressor.charMap.effMap[3, 1]",50000.0
216,"compressor.charMap.effMap[3, 2]",0.7699999809265137
217,"compressor.charMap.effMap[3, 3]",0.8600000143051147
218,"compressor.charMap.effMap[3, 4]",0.8199999928474426
219,"compressor.charMap.effMap[4, 1]",60000.0
220,"compressor.charMap.effMap[4, 2]",0.7699999809265137
221,"compressor.charMap.effMap[4, 3]",0.8399999737739563
222,"compressor.charMap.effMap[4, 4]",0.7799999713897705
223,compressor.charMap.effTable.extrapLower1,2.0
224,compressor.charMap.effTable.extrapLower2,2.0
225,compressor.charMap.effTable.extrapUpper1,2.0
226,compressor.charMap.effTable.extrapUpper2,2.0
227,compressor.charMap.effTable.interpMethod,1.0
228,compressor.charMap.effTable.tableOnFile,0.0
229,"compressor.charMap.effTable.table[1, 1]",0.0
230,"compressor.charMap.effTable.table[1, 2]",0.10000000149011612
231,"compressor.charMap.effTable.table[1, 3]",0.15000000596046448
232,"compressor.charMap.effTable.table[1, 4]",0.20000000298023224
233,"compressor.charMap.effTable.table[2, 1]",40000.0
234,"compressor.charMap.effTable.table[2, 2]",0.75
235,"compressor.charMap.effTable.table[2, 3]",0.8500000238418579
