,VarName,Value
0,EnergyConsumption,33464.8359375
1,PID_for_T.D.T,0.009999999776482582
2,PID_for_T.D.der(x),5.1159076974727213e-11
3,PID_for_T.D.initType,1.0
4,PID_for_T.D.k,0.10000000149011612
5,PID_for_T.D.u,-293.3266906738281
6,PID_for_T.D.x,-293.3266906738281
7,PID_for_T.D.x_start,0.0
8,PID_for_T.D.y,5.115907697472721e-12
9,PID_for_T.D.y_start,0.0
10,PID_for_T.I.der(y),5.115907697472721e-12
11,PID_for_T.I.initType,1.0
12,PID_for_T.I.k,10.0
13,PID_for_T.I.u,5.115907697472721e-13
14,PID_for_T.I.y,70.22064208984375
15,PID_for_T.I.y_start,0.0
16,PID_for_T.Nd,10.0
17,PID_for_T.Ni,0.10000000149011612
18,PID_for_T.P.k,1.0
19,PID_for_T.P.u,5.115907697472721e-13
20,PID_for_T.P.y,5.115907697472721e-13
21,PID_for_T.Td,0.10000000149011612
22,PID_for_T.Ti,0.10000000149011612
23,PID_for_T.addD.k1,0.0
24,PID_for_T.addD.k2,-1.0
25,PID_for_T.addD.u1,293.3266906738281
26,PID_for_T.addD.u2,293.3266906738281
27,PID_for_T.addD.y,-293.3266906738281
28,PID_for_T.addI.k1,1.0
29,PID_for_T.addI.k2,-1.0
30,PID_for_T.addI.k3,1.0
31,PID_for_T.addI.u1,293.3266906738281
32,PID_for_T.addI.u2,293.3266906738281
33,PID_for_T.addI.u3,0.0
34,PID_for_T.addI.y,5.115907697472721e-13
35,PID_for_T.addP.k1,1.0
36,PID_for_T.addP.k2,-1.0
37,PID_for_T.addP.u1,293.3266906738281
38,PID_for_T.addP.u2,293.3266906738281
39,PID_for_T.addP.y,5.115907697472721e-13
40,PID_for_T.addPID.k1,1.0
41,PID_for_T.addPID.k2,1.0
42,PID_for_T.addPID.k3,1.0
43,PID_for_T.addPID.u1,5.115907697472721e-13
44,PID_for_T.addPID.u2,5.115907697472721e-12
45,PID_for_T.addPID.u3,70.22064208984375
46,PID_for_T.addPID.y,70.22064208984375
47,PID_for_T.addSat.k1,1.0
48,PID_for_T.addSat.k2,-1.0
49,PID_for_T.addSat.u1,7022.06396484375
